filename	hdu	keyword	value
c4d_150216_205126_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205230_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205335_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205442_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205542_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205607_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205630_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205650_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205715_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205735_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205808_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205824_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205848_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205919_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205932_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150216_205957_zri.fits.fz	0	OBJECT	postflats-BIAS
c4d_150217_001654_zri.fits.fz	0	OBJECT	
c4d_150217_001713_zri.fits.fz	0	OBJECT	
c4d_150217_001901_ori.fits.fz	0	OBJECT	POINTING
c4d_150217_002321_ori.fits.fz	0	OBJECT	SDSSJ0200-0000
c4d_150217_002404_ori.fits.fz	0	OBJECT	SDSSJ0200-0000
c4d_150217_002529_ori.fits.fz	0	OBJECT	SDSSJ0320-0000
c4d_150217_002614_ori.fits.fz	0	OBJECT	SDSSJ0320-0000
c4d_150217_002958_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003038_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003458_ici_g_v1.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003458_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003651_ici_r_v1.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003651_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_003845_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_004041_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_004232_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_004426_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_004816_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_005010_ori.fits.fz	0	OBJECT	SDSSJ0843-0000
c4d_150217_005840_ori.fits.fz	0	OBJECT	Blind15A_01
c4d_150217_010037_ori.fits.fz	0	OBJECT	Blind15A_02
c4d_150217_010231_ori.fits.fz	0	OBJECT	Blind15A_03
c4d_150217_010428_ori.fits.fz	0	OBJECT	Blind15A_04
c4d_150217_010621_ori.fits.fz	0	OBJECT	Blind15A_05
c4d_150217_010821_ori.fits.fz	0	OBJECT	Blind15A_06
c4d_150217_011014_ori.fits.fz	0	OBJECT	Blind15A_07
c4d_150217_011209_ori.fits.fz	0	OBJECT	Blind15A_08
c4d_150217_011411_ori.fits.fz	0	OBJECT	Blind15A_09
c4d_150217_011611_ori.fits.fz	0	OBJECT	Blind15A_10
c4d_150217_011811_ori.fits.fz	0	OBJECT	Blind15A_11
c4d_150217_012009_ori.fits.fz	0	OBJECT	Blind15A_12
c4d_150217_012209_ori.fits.fz	0	OBJECT	Blind15A_13
c4d_150217_012411_ori.fits.fz	0	OBJECT	Blind15A_14
c4d_150217_012604_ori.fits.fz	0	OBJECT	Blind15A_15
c4d_150217_012810_ori.fits.fz	0	OBJECT	Blind15A_16
c4d_150217_013010_ori.fits.fz	0	OBJECT	Blind15A_17
c4d_150217_013206_ori.fits.fz	0	OBJECT	Blind15A_18
c4d_150217_013405_ori.fits.fz	0	OBJECT	Blind15A_19
c4d_150217_013554_ori.fits.fz	0	OBJECT	Blind15A_20
